name_entreprise,name_establishment,creation_date,type_way,address,city,postal_code,gender,first_name,last_name,brewery_status,created_by,last_modification_date,last_modified_by
BRASSERIE DE LA COTE DE JADE,,2016-03-01,RUE,HENRI BECQUEREL,PORNIC,44210,,,,0,,,
AVANTAGE,,2003-02-14,CHEMIN,DES PALMIERS,SAINT-DENIS,97490,,,,0,,,
BRASSERIE SAINT-GERMAIN,,2003-02-26,RTE,D'ARRAS,AIX-NOULETTE,62160,,,,0,,,
CHRISTOPHE NOYON BRASSEUR,,2003-03-25,,FERME DE BELLE DALLE,TARDINGHEN,62179,,,,0,,,
,LES SARDINES BRONZEES,2015-07-02,AVENUE,D’INGRIL,FRONTIGNAN,34110,M,YOAN,GOUT,0,,,
BRASSERIE ROMANAISE,,2016-04-02,RUE,CLAUDE BERNARD,ROMANS-SUR-ISERE,26100,,,,0,,,
,BRASSERIE DES COQUES,2019-07-01,,LES COQUES,COURCELLES,58210,M,ARNAUD,VILLERS,0,,,
,BIERES DE LA COLLINE,2019-04-16,ROUTE,D'AVALLON,VEZELAY,89450,M,NICOLAS,BRY,0,,,
,IRWIN KUNZI,2014-07-07,RUE,DE CERNAY,REIMS,51100,M,IRWIN,KUNZI,0,,,
,BRASSERIE DU BRIONNAIS,2018-03-12,LD,LA RUE,ANZY-LE-DUC,71110,M,XAVIER,JULIEN,0,,,
[ND],[ND],2016-06-15,[ND],[ND],PAIMPONT,[ND],[ND],[ND],[ND],0,,,
ARNOA,,2008-08-18,DOM,ANDUZE,MARSEILLETTE,11800,,,,0,,,
,,2020-07-13,RUE,DE LA GROTTE,RUFFEY-LE-CHATEAU,25170,M,ALEXIS,CUNY,0,,,
,BRASSERIE DU MANGIABO,2016-01-19,,QUA BERINS SUPERIEUR,SOSPEL,06380,M,STEPHANE,FACCENDINI,0,,,
BRASSERIE DE LA LOIRE,,2015-09-01,CHEMIN,DU BECHET,SAINT-JUST-SAINT-RAMBERT,42170,,,,0,,,
BRASSERIE DU VAL DE DROME,BRASSERIE DU VAL DE DROME,2020-06-01,RUE,DES ARTISANS,CLEON-D'ANDRAN,26450,,,,0,,,
,BRASSERIE MONS SELEUCUS,2021-05-03,,LE VILLAGE,LA BATIE MONTSALEON,05700,M,BENJAMIN,CAMUS,0,,,
CRIBA,BRASSERIE DES VOIRONS,2018-05-01,PLACE,DE LA VIGNULE,LUCINGES,74380,,,,0,,,
,LA BEL COMTOISE,2019-10-07,ROUTE,DE LA GARE,LARNOD,25720,M,ALAIN,MOREL,0,,,
,MICROBRASSERIE LA VAGABONDE,2020-01-01,,LE MONTARUT,VILLEFRANCHE DE LONCHAT,24610,F,NELLY,REDON,0,,,
BRASSERIE BREWEPPES,,2021-01-01,RUE,DES CHARRONS,HERLIES,59134,,,,0,,,
BRASSERIE DU PAYS LORRAIN,,2008-09-15,ROUTE,DE LONGWY,MONT-SAINT-MARTIN,54350,,,,0,,,
,BOCCA,2022-03-15,,LD NOCE,COZZANO,20148,M,SYLVAIN,MARTINEZ,0,,,
"""TERRE ET TRADITION""",,2004-03-01,RUE,JEAN MONNET,QUERENAING,59269,,,,0,,,
,LE PAPY BRASSEUR,2021-10-26,RUE,BELLE-VUE,MUHLBACH-SUR-BRUCHE,67130,M,MARC,SIEGEL,0,,,
